match_id,team_id,team_name,player_id,player_name,player_nickname,jersey_number
8655,771,France,3009,Kylian Mbappé Lottin,Kylian Mbappé,10
8655,771,France,3099,Hugo Lloris,,1
8655,771,France,3604,Olivier Giroud,,9
8655,771,France,3961,"N""Golo Kanté",,13
8655,771,France,4375,Blaise Matuidi,,14
8655,771,France,5476,Benjamin Pavard,,2
8655,771,France,5480,Corentin Tolisso,,12
8655,771,France,5484,Lucas Hernández Pi,Lucas Hernandez,21
8655,771,France,5485,Raphaël Varane,,4
8655,771,France,5487,Antoine Griezmann,,7
8655,771,France,5492,Samuel Yves Umtiti,Samuel Umtiti,5
8655,771,France,5737,"Steven N""Kemboanza Mike Christopher Nzonzi",Steven Nzonzi,15
8655,771,France,20004,Paul Pogba,,6
8655,782,Belgium,3037,Moussa Sidi Yaya Dembélé,Mousa Dembélé,19
8655,782,Belgium,3077,Jan Vertonghen,,5
8655,782,Belgium,3089,Kevin De Bruyne,,7
8655,782,Belgium,3101,Vincent Kompany,,4
8655,782,Belgium,3289,Romelu Lukaku Menama,Romelu Lukaku,9
8655,782,Belgium,3296,Marouane Fellaini-Bakkioui,Marouane Fellaini,8
8655,782,Belgium,3457,Michy Batshuayi Tunga,Michy Batshuayi,21
8655,782,Belgium,3509,Thibaut Courtois,,1
8655,782,Belgium,3621,Eden Hazard,,10
8655,782,Belgium,4831,Nacer Chadli,,22
8655,782,Belgium,5630,Dries Mertens,,14
8655,782,Belgium,5633,Yannick Ferreira Carrasco,Yannick Carrasco,11
8655,782,Belgium,5642,Axel Witsel,,6
8655,782,Belgium,20005,Toby Alderweireld,,2
8657,782,Belgium,2954,Youri Tielemans,,17
8657,782,Belgium,3037,Moussa Sidi Yaya Dembélé,Mousa Dembélé,19
8657,782,Belgium,3077,Jan Vertonghen,,5
8657,782,Belgium,3089,Kevin De Bruyne,,7
8657,782,Belgium,3101,Vincent Kompany,,4
8657,782,Belgium,3176,Thomas Meunier,,15
8657,782,Belgium,3289,Romelu Lukaku Menama,Romelu Lukaku,9
8657,782,Belgium,3509,Thibaut Courtois,,1
8657,782,Belgium,3621,Eden Hazard,,10
8657,782,Belgium,4831,Nacer Chadli,,22
8657,782,Belgium,5630,Dries Mertens,,14
8657,782,Belgium,5642,Axel Witsel,,6
8657,782,Belgium,6332,Thomas Vermaelen,,3
8657,782,Belgium,20005,Toby Alderweireld,,2
8657,768,England,3094,Bamidele Alli,Dele Alli,20
8657,768,England,3233,Raheem Shaquille Sterling,Raheem Sterling,10
8657,768,England,3244,John Stones,,5
8657,768,England,3293,Jesse Lingard,,7
8657,768,England,3308,Kieran Trippier,,12
8657,768,England,3314,Phil Jones,,16
8657,768,England,3318,Marcus Rashford,,19
8657,768,England,3336,Harry Maguire,,6
8657,768,England,3468,Jordan Pickford,,1
8657,768,England,3504,Ruben Loftus-Cheek,,21
8657,768,England,3594,Danny Rose,,3
8657,768,England,4597,Fabian Delph,,17
8657,768,England,10955,Harry Kane,,9
8657,768,England,10956,Eric Dier,,4
7543,772,Spain,3064,David Josué Jiménez Silva,David Silva,21
7543,772,Spain,3333,David de Gea Quintana,David de Gea,1
7543,772,Spain,4926,Francisco Román Alarcón Suárez,Isco,22
7543,772,Spain,5198,Diego da Silva Costa,Diego Costa,19
